retention,F_spherical,F_binarized
0.01,2.506812984430786,2.0
0.02,2.51352210853684,2.0
0.03,2.520164030716724,2.0
0.04,2.5267560703412175,2.0
0.05,2.53330926391544,2.0
0.060000000000000005,2.539842871246945,2.0
0.06999999999999999,2.546307966241484,2.0
0.08,2.5526948090693833,2.0
0.09,2.559050580111137,1.9999999999999998
0.09999999999999999,2.565338126546206,2.0
0.11,2.571583056252911,2.0
0.12,2.577760350175481,2.0
0.13,2.5838818797671594,2.0
0.14,2.5899465255881844,2.0
0.15000000000000002,2.595943828982504,2.0
0.16,2.601862458083892,2.0
0.17,2.6077045853099685,2.0
0.18000000000000002,2.61347804660971,2.0
0.19,2.6191774385457816,2.0
0.2,2.6248071358349034,1.9999999999999998
0.21000000000000002,2.6303656222915737,2.0
0.22,2.63584307145209,2.0
0.23,2.641245937587576,2.0
0.24000000000000002,2.646577562521264,2.0
0.25,2.6518333810348773,2.0
0.26,2.6570125713219435,2.0
0.27,2.6621153675452973,2.0
0.28,2.667139140465133,2.0
0.29000000000000004,2.672087321316621,2.0
0.3,2.6769591862071267,2.0
0.31,2.68174913330341,2.0
0.32,2.6864550549555495,2.0
0.33,2.691080321083072,2.0
0.34,2.6956231760689047,2.0
0.35000000000000003,2.700086664521001,2.0
0.36000000000000004,2.704472498936953,2.0
0.37,2.7087803387845186,2.0
0.38,2.7130096395429226,2.0
0.39,2.7171612142606825,2.0
0.4,2.721231120154576,1.9999999999999998
0.41000000000000003,2.7252190914818977,2.0
0.42000000000000004,2.729125175708771,2.0
0.43,2.732948664365705,2.0
0.44,2.7366877900231055,2.0
0.45,2.740345917894946,2.0
0.46,2.7439212829741217,2.0
0.47000000000000003,2.7474148444541138,2.0
0.48000000000000004,2.7508266350551267,2.0
0.49,2.7541557997908255,2.0
0.5,2.7574035892393804,2.0
0.51,2.760569684071637,2.0
0.52,2.7636541710545677,2.0
0.53,2.7674314413820804,1.9999999999999998
0.54,2.771358055125451,2.0
0.55,2.7750389855464346,2.0
0.56,2.7785314897657782,2.0
0.5700000000000001,2.7818365567626353,2.0
0.5800000000000001,2.7849617537657303,2.0
0.59,2.7879085955503533,2.0
0.6,2.790688952718238,2.0
0.61,2.7933235244638004,2.0
0.62,2.7958096535054313,2.0
0.63,2.798155120881746,2.0
0.64,2.8003690001021195,2.0
0.65,2.8024547834965334,2.0
0.66,2.804418230273439,2.0
0.67,2.806262658820358,2.0
0.68,2.808004765952601,2.0
0.6900000000000001,2.809639454160756,2.0
0.7000000000000001,2.811177437510452,2.0
0.7100000000000001,2.8126269793876832,2.0
0.72,2.813982123905089,2.0
0.73,2.815251457238929,2.0
0.74,2.8164437413805556,2.0
0.75,2.8175567191574853,2.0
0.76,2.81859726719118,2.0
0.77,2.8195697686743726,2.0
0.78,2.8204734342531363,2.0
0.79,2.8213145964171833,2.0
0.8,2.8220956442596394,2.0
0.81,2.822818155382733,2.0
0.8200000000000001,2.8234855691774188,2.0
0.8300000000000001,2.8241002185624247,2.0
0.8400000000000001,2.8246652228511118,2.0
0.85,2.825181078917194,2.0
0.86,2.8256523764380255,1.9999999999999998
0.87,2.8260796350333095,2.0
0.88,2.8264651770821008,2.0
0.89,2.8268109842481834,2.0
0.9,2.827118322753074,2.0
0.91,2.827388896184208,2.0
0.92,2.827624765227996,2.0
0.93,2.827827462360278,2.0
0.9400000000000001,2.827998093930348,1.9999999999999998
0.9500000000000001,2.8281384450332534,2.0
0.9600000000000001,2.828249482614809,2.0
0.97,2.828332551818055,2.0
0.98,2.8283889142568714,2.0
0.99,2.8284196175692946,2.0
1.0,2.82842591963865,2.0
