material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,n_model,n_err
si,450.0,4.7,0.15,1.0,8.491666666666665,6.656666666666667,0.6166666666666667,3.188966538411682,-1.511033461588318
si,550.0,4.3,0.055,0.6283185307179585,8.159999999999998,6.408333333333333,0.5166666666666667,3.115458966644123,-1.184541033355877
si,650.0,3.88,0.02,0.1933287786824488,7.828333333333333,6.16,0.38333333333333336,3.047230616609999,-0.832769383390001
si,850.0,3.68,0.006,0.044351896285973545,7.828333333333333,6.16,0.3,3.057227855268776,-0.6227721447312242
si,1000.0,3.57,0.001,0.006283185307179586,8.159999999999998,6.408333333333333,0.25,3.1442528522457005,-0.42574714775429934
sio2,404.7,1.4696,0.0,0.0,1.1949999999999998,2.6833333333333336,0.0,1.5922908692404951,0.1226908692404951
sio2,435.8,1.4667,0.0,0.0,1.1949999999999998,2.6833333333333336,0.0,1.5908822167325465,0.12418221673254659
sio2,486.1,1.4631,0.0,0.0,1.1949999999999998,2.6833333333333336,0.0,1.5893407189608904,0.12624071896089029
sio2,546.1,1.4601,0.0,0.0,1.1949999999999998,2.6833333333333336,0.0,1.5886928864050847,0.1285928864050847
sio2,589.3,1.4585,0.0,0.0,1.1949999999999998,2.6833333333333336,0.0,1.5890287228020143,0.13052872280201444
sio2,632.8,1.457,0.0,0.0,1.1949999999999998,2.6833333333333336,0.0,1.5900455769774209,0.1330455769774208
sio2,656.3,1.4565,0.0,0.0,1.1949999999999998,2.6833333333333336,0.0,1.590878248758142,0.1343782487581422
